gene_symbol,log2FoldChange,pvalue
Hist1h4d,-0.221831070699071,0.299730183409237
Gbp9,0.216185041840744,0.299730183409237
Afmid,0.226008439308967,0.299730183409237
Zfp62,-0.232358363340297,0.299730183409237
Gm15616,0.231634610281201,0.300998537626549
Gm37415,0.192515020773656,0.300998537626549
Bpnt1,0.159405047724066,0.300998537626549
E2f4,-0.153892925846287,0.300998537626549
Gm17315,-0.20919990263923,0.301791090061492
Arid5b,0.216595083559331,0.301791090061492
Smc5,0.229658226358155,0.302799956581121
Slc35b2,-0.212914496997993,0.302982055724593
Gm5311,-0.165755349600374,0.302982055724593
Rpl10a-ps2,-0.204839096923249,0.302982055724593
Kcnn1,0.17478008155541,0.303158925672121
Adck2,-0.211843593845344,0.305220517168367
Wdr25,-0.138798519967189,0.308121786711699
Mapk11,-0.232043877670588,0.310526313206486
Sfmbt2,-0.146221183924976,0.310526313206486
Tpm2,-0.210339298023422,0.311758192558754
Myh10,-0.224820666224105,0.313593349830664
Nos1ap,-0.195663459987402,0.313593349830664
Gm42671,0.131985719228659,0.313702784848841
Mir3060,-0.156227119275324,0.314809005429273
Gm35931,-0.218301419809857,0.314809005429273
Zfp1,-0.225166892895388,0.31641333700011
4930507D05Rik,-0.179636785606481,0.317798450307997
Inf2,-0.193481955934038,0.319050188530796
Copg2,-0.179107579289504,0.319644524131914
Oas2,-0.226356088595535,0.319644524131914
Ighv5-9-1,0.21059149556571,0.319644524131914
Gcc2,-0.173093144613266,0.319644524131914
Dr1,0.226622902393989,0.322070312887126
Ctsg,0.171173836745681,0.323744997025044
Gm12397,0.218397621105721,0.323744997025044
Gm37835,0.176582821357774,0.323744997025044
Phxr4,0.212665861087529,0.325434991569859
Eid3,0.186320407915255,0.325903432273608
RP23-118I16.1,0.182100798197008,0.328772725739546
Gm13578,0.134470967471483,0.331225161971278
2310031A07Rik,0.148493137200187,0.33438926360985
Gm23833,-0.193863000117657,0.336280440459408
9930111J21Rik2,-0.213880013738104,0.336625604676948
Gm15889,0.202322283928447,0.33881376583864
Eps8l1,-0.142318523415587,0.33881376583864
Ubald2,-0.218622842701336,0.340211261814091
Ccdc102a,0.204485631251663,0.340357723856792
Mafb,-0.1860344908089,0.341642873317478
Kdm4b,0.171060758137809,0.341743143110425
Laptm5,0.174857803247598,0.341743143110425
Gm17233,-0.127185554587869,0.341743143110425
Pyurf,0.222382138228614,0.347355213047837
Dennd5b,0.212245141809176,0.347355213047837
Spdl1,-0.180581227613894,0.347355213047837
Pitpna,0.100374638489949,0.350639624095304
Dync1li1,0.202915630756005,0.35422347235733
Gm9761,-0.20591401016561,0.355748566967697
Mrc1,0.211829522309513,0.356968503492961
Gm14207,-0.154685871972796,0.357630205380597
Mlh3,0.189735493372274,0.359482407397321
Gm5353,-0.186014611825547,0.359482407397321
Psmg1,0.210933941006779,0.359482407397321
Pknox1,0.164014394113464,0.362501730735798
Blm,0.17476496729797,0.362501730735798
2010300C02Rik,-0.141949483254862,0.365390621567568
Spta1,-0.176778906478119,0.365485516868474
Atp5a1,-0.192585948966305,0.36696882574329
Trap1,-0.221586463482991,0.36696882574329
Slc6a3,-0.221901581509671,0.367013096580247
Mprip,-0.208082384478123,0.367046439464381
Elfn1,-0.194334208535326,0.367046439464381
Gm20940,0.188828108014974,0.367803300492033
Gm43180,0.184206040679208,0.367803300492033
Smc1a,0.173374104923615,0.367803300492033
Sdf2,0.189064758104661,0.367803300492033
Ighv1-83,-0.207259470143776,0.367803300492033
H2-D1,0.184534968205203,0.367803300492033
2700062C07Rik,0.141030963562551,0.371467497415051
Hgs,-0.16564980219109,0.371467497415051
Gm31532,0.178002177434939,0.371599493958276
Rnf168,-0.176942832380648,0.371599493958276
Gm42585,0.221468595276655,0.371599493958276
Klhdc3,0.142380773309059,0.374122783963327
Mtfp1,0.22175491248187,0.376458331492562
Cd59a,-0.170109235752466,0.376941363886197
Dclk2,0.205787512020267,0.376941363886197
Gm37699,-0.199298538832169,0.376941363886197
Wdr38,-0.181199927383478,0.379335926537071
Cdk17,-0.185972336041078,0.38342422168926
Cemip,0.210958882732096,0.38342422168926
Ccnb2-ps,-0.161389975328418,0.38342422168926
Gm9752,0.219647407655678,0.38342422168926
Rprd1b,-0.0704909542655809,0.38342422168926
RP23-360L22.3,-0.17664763859148,0.385450903296794
Ep300,-0.208937679522854,0.385450903296794
Hs3st3b1,-0.152554653233431,0.385450903296794
Gm14427,-0.215398166585202,0.388526965507325
Gm16318,-0.218313416294379,0.388783138166654
